需求(五级项目),归属小微,一级项目,二级项目,三级项目,四级项目,年度,项目计划开始时间,项目期望交付时间,优先级,作战计划,项目负责人(团队长/链群主）,产品设计人员,计划开发人员,实际开发人员,状态,整体进度,说明,交付模式,AI交付类型,工具使用,项目标签,评估人天(条目法),计划人天(AI交付),计划提效,提效方式,资产化交付工具,缺口人天,缺口预算（元）,预算论证日期,实际人天,交付效率(倍),交付代码行,开发计划(链接),应用S码,涉及应用,供应商,项目类型,资源方案,项目分类,效率基线,效率目标,计划供应商人数,实际供应商人数,业务人员人数,项目资源配比(业务:产品:技术),供应商参与人数,资产析出,析出数量,资产析出一致性,资产析出准确率,资产入库,入库数量,入库准确率,增量生成,增量资产数量,增量资产占比,资产转译,转译准确率,数据回放,数据回放准确率,项目进展,项目风险,参与度(总和为1),入库时间,交付范围,数据来源,手工维护,开发状态(公式),是否逾期,需求大类,需求小类,开发跟进表计划人天,交付评价,更新时间,条目法人天（来自任务）,计划预算(元),创建人,创建人.部门,产品确认结果,父记录 2,创建时间,开发资源是否能按时到位,父记录 3,资产析出一致性 (1),资产析出准确率 (1),资产入库 (1),入库数量 (1),入库准确率 (1),增量生成 (1),增量资产数量 (1),增量资产占比 (1),资产转译 (1),转译准确率 (1),数据回放 (1),数据回放准确率 (1),项目进展 (1),项目风险 (1),参与度(总和为1) (1),入库时间 (1),交付范围 (1),数据来源 (1),手工维护 (1),开发状态(公式) (1),是否逾期 (1),需求大类 (1),需求小类 (1),开发根据表计划人天 (1),交付评价 (1),更新时间 (1),条目法人天（来自任务） (1),计划预算(元) (1),创建人 (1),创建人.部门 (1),产品确认结果 (1),创建时间 (1),开发资源是否能按时到位 (1)
海尔生物的底薪提成模式使用范围扩展至海尔新能源领域下属微慕科技小微,人力数字化,薪委会数字化,薪委会数字化,薪酬数字化专项,1255-微慕预酬个性化需求,2026,,,,130,,李莉,"吴荣坤,王学晗","吴荣坤
王学晗",验证,100%,,,,,,,,,,,,,,1.2,0%,,,,,,,,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2026/01/15,非交付与质量中心,,,开发完成,false,,,2.5,,2026/01/26 09:15,2.5,,李莉,薪酬时间,,,2026/01/15,,,,,,,,,,,,,,,,暂无,,2026/01/15,非交付与质量中心,,,开发完成,false,,,2.5,,2026/01/26 09:15,2.5,,李莉,,,2026/01/15,
,人力数字化,,,绩效数字化专项,,2026,,,,1130,,,王学晗,"赵扬悦
张旭
孙乐磊
孟家男
尹相波
王旭杰
陈震
岳甲戌
刘永胜
孙艳飞
刘孝明
赵红
范双
李洪超
高强
林郭森
李江涛
李乃娇
程珍
姜威
谢凯
赵化烙
李恂
程相稳
李京京
矫宗本
张启栋
吴荣坤",,3896174846654058496%,,,,,,,,,,,,,,195.5,0%,,,,,,,,,,,,,,:0:1,,,,,,,,,,,,,,,,,暂无,,2026/01/19,非交付与质量中心,,,,false,,,484.0,,2026/01/19 09:32,484.0,,王学晗,开发团队B,,,2026/01/19,,,,,,,,,,,,,,,,暂无,,2026/01/19,非交付与质量中心,,,,false,,,484.0,,2026/01/19 09:32,484.0,,王学晗,,,2026/01/19,
预算经理审批流导入，增加租户的写入，可以根据租户查询已配置的审批流,财资数字化,,,共享平台能力迭代,云报账能力迭代,2026,2026/01/19,2026/01/31,P0,130,刘晓红,张巍,李乃娇,李乃娇,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Claude+Cursor,财资,,,,,,,,,1.5,0%,,,S03091,云报账,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2026/01/19,交付与质量中心,,,开发完成,false,,,6.0,,2026/01/30 16:22,6.0,,张巍,产业赋能子链群,,,2026/01/19,,,,,,,,,,,,,,,,,,2026/01/19,交付与质量中心,,,开发完成,false,,,6.0,,2026/01/30 16:22,6.0,,张巍,,,2026/01/19,
集市 V1.0.2 ,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,集市,2026,,2026/01/30,,228,王卫强,,,"程相稳
张旭",发布,100%,张旭 相稳-130,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,8,5,160.00%,,,,,,4.0,200%,,,S03174,海尔人,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2026/01/20,交付与质量中心,,,开发完成,false,,,12.0,,2026/02/27 16:55,12.0,,王卫强,文化团队,,,2026/01/20,,,,,,,,,,,,,,,,,,2026/01/20,交付与质量中心,,,开发完成,false,,,12.0,,2026/02/27 16:55,12.0,,王卫强,,,2026/01/20,
把云大厅这块的导出功能增加数据量的限制，现在200w数据导出，一导出云大厅就挂了,人力数字化,,,共享数字化专项,,2026,,,,1230,,,尹相波,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,:0:1,,,,,,,,,,,,,,,,,,,2026/01/20,非交付与质量中心,,,,false,,,0.0,,2026/01/20 10:55,0.0,,梁祯,共享关爱,,,2026/01/20,,,,,,,,,,,,,,,,,,2026/01/20,非交付与质量中心,,,,false,,,0.0,,2026/01/20 10:55,0.0,,梁祯,,,2026/01/20,
"113 库 myhr_prod 表名t_100000134_report_v2_employee_day_report_split
新增判断孩子的出现日期，满一岁的不算法定顺延",人力数字化,,,共享数字化专项,,2026,,,,1230,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2026/01/20,非交付与质量中心,,,,false,,,0.0,,2026/01/20 10:56,0.0,,梁祯,共享关爱,,,2026/01/20,,,,,,,,,,,,,,,,,,2026/01/20,非交付与质量中心,,,,false,,,0.0,,2026/01/20 10:56,0.0,,梁祯,,,2026/01/20,
"竞业限制义务解除通知（履行后解除）：
①在竞业限制子场景下增加维度“履行后解除”
②字典&接口新增字段：“履行通知终止时间”Terminationtimeofperformancenotice









",人力数字化,,,共享数字化专项,,2026,,,,1230,,,尹相波,尹相波,,100%,,,,,,,,,,,,,,1.5,0%,,,,,,,,,,,,,,:0:1,,,,,,,,,,,,,,,,,,,2026/01/20,非交付与质量中心,,,,false,,,5.0,,2026/01/20 10:58,5.0,,梁祯,共享关爱,,,2026/01/20,,,,,,,,,,,,,,,,,,2026/01/20,非交付与质量中心,,,,false,,,5.0,,2026/01/20 10:58,5.0,,梁祯,,,2026/01/20,
政务服务平台需求,交付与质量中心,数字化领域赋能,文化数字化,文化云,政务云,2026,,2026/02/28,,228,王卫强,,,"李密
张旭",发布,100%,张旭 李密 -206,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,30,15,200.00%,,,,,,11.0,273%,,,S03174,海尔人,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2026/01/21,交付与质量中心,,,开发完成,false,,,25.0,,2026/02/27 18:28,25.0,,王卫强,文化团队,,,2026/01/21,,,,,,,,,,,,,,,,,,2026/01/21,交付与质量中心,,,开发完成,false,,,25.0,,2026/02/27 18:28,25.0,,王卫强,,,2026/01/21,
全流程薪资银行账号传SAP作业调整,人力数字化,薪委会数字化,薪委会数字化,薪酬数字化专项,全流程薪资银行账号传SAP作业调整,2026,,,P0,130,,李莉,吴荣坤,吴荣坤,,100%,,,,,,,,,,,,,,1.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2026/01/22,非交付与质量中心,,,,false,,,2.0,,2026/01/22 10:58,2.0,,李莉,薪酬时间,,,2026/01/22,,,,,,,,,,,,,,,,,,2026/01/22,非交付与质量中心,,,,false,,,2.0,,2026/01/22 10:58,2.0,,李莉,,,2026/01/22,
薪酬支付平台第三方薪酬支付数据接口：1.没有配置上线单位和发薪日的不接数。2，接口对接过来的数据默认是锁定状态,人力数字化,数字化领域赋能,薪委会数字化,薪酬数字化专项,薪酬支付平台第三方薪酬支付数据接口：1.没有配置上线单位和发薪日的不接数。2，接口对接过来的数据默认是锁定状态,2026,,2026/01/26,P1,1230,孟方,孟方,吴荣坤,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2026/01/22,非交付与质量中心,,,,false,,,0.0,,2026/01/22 14:42,0.0,,孟方,薪酬时间,,,2026/01/22,,,,,,,,,,,,,,,,,,2026/01/22,非交付与质量中心,,,,false,,,0.0,,2026/01/22 14:42,0.0,,孟方,,,2026/01/22,
,人力数字化,,,薪酬数字化专项,,2026,,,,1230,,,,"赵扬悦
张旭
孙乐磊
孟家男
尹相波
王旭杰
陈震
岳甲戌
刘永胜
孙艳飞
刘孝明
赵红
范双
李洪超
高强
林郭森
李江涛
李乃娇
程珍
姜威
谢凯
赵化烙
李恂
程相稳
李京京
矫宗本
张启栋
吴荣坤",,3896174846654058496%,,,,,,,,,,,,,,195.5,0%,,,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,暂无,,2026/01/22,非交付与质量中心,,,,false,,,484.0,,2026/01/22 14:42,484.0,,孟方,薪酬时间,,,2026/01/22,,,,,,,,,,,,,,,,暂无,,2026/01/22,非交付与质量中心,,,,false,,,484.0,,2026/01/22 14:42,484.0,,孟方,,,2026/01/22,
law省事需求迭代：用印申请物理章对接章桶4.4.1 合同用印归档功能定义-V1.3（章桶）,交付与质量中心,数字化赋能领域,法律委数字化,法律委-合同管理迭代优化,合同系统迭代追踪表-26年,2026,,2026/01/30,P0,130,,鲍盾,李恂,岳甲戌,,100%,,,,,,,,,,,,,,10.0,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2026/01/22,非交付与质量中心,,,,false,,,24.0,,2026/01/29 09:17,24.0,,鲍盾,风险合规数字化,,,2026/01/22,,,,,,,,,,,,,,,,,,2026/01/22,非交付与质量中心,,,,false,,,24.0,,2026/01/29 09:17,24.0,,鲍盾,,,2026/01/22,
学习平台数据上通道,人力数字化,数字化领域赋能,薪委会数字化,学习数字化专项,1256-学习平台数据上通道,2026,2026/01/15,2026/01/31,P0,130,张贺,张贺,辛锐,辛锐,开发,100%,,B类-面向特性交付,Level1 - 代码补全辅助开发,,人力,,,,,,,,,3.0,0%,,,S01377,创客学习平台,,,,通用开发类,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/23,交付与质量中心,,,开发中,true,,,6.0,,2026/01/23 15:03,6.0,,张贺,培训发展,,,2026/01/23,,,,,,,,,,,,,,,,暂无,,2026/01/23,交付与质量中心,,,开发中,true,,,6.0,,2026/01/23 15:03,6.0,,张贺,,,2026/01/23,
架构治理,人力数字化,数字化领域赋能,薪委会数字化,学习数字化专项,1257-2026年架构治理,2026,2026/02/02,2026/06/30,P1,630,张贺,张贺,"辛锐,张启栋,闫芳瑶",辛锐,开发设计,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,,,,,,,,,7.5,0%,,,S01377,创客学习平台,,,,通用开发类,,,,,,:1:3,,,,,,,,,,,,,,,,,暂无,,2026/01/23,交付与质量中心,,,开发中,false,,,20.0,,2026/01/23 15:07,20.0,,张贺,培训发展,,,2026/01/23,,,,,,,,,,,,,,,,暂无,,2026/01/23,交付与质量中心,,,开发中,false,,,20.0,,2026/01/23 15:07,20.0,,张贺,,,2026/01/23,
全选修课地图状态完成逻辑升级,人力数字化,数字化领域赋能,薪委会数字化,学习数字化专项,1258-全选修课地图状态完成逻辑升级,2026,2026/01/23,2026/01/29,P0,130,张贺,张贺,"辛锐,张启栋,闫芳瑶,徐强","辛锐
张启栋",开发,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,,人力,,,,,,,,,3.5,0%,,,S01377,创客学习平台,,,,通用开发类,,,,,,:1:4,,,,,,,,,,,,,,,,,暂无,,2026/01/23,交付与质量中心,,,开发中,true,,,9.0,,2026/01/23 15:08,9.0,,张贺,培训发展,,,2026/01/23,,,,,,,,,,,,,,,,暂无,,2026/01/23,交付与质量中心,,,开发中,true,,,9.0,,2026/01/23 15:08,9.0,,张贺,,,2026/01/23,
小红花需求文档 精选相关,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,小红花,2026,,2026/01/30,,130,王卫强,,,"程相稳
张旭",发布,100%,张旭 相稳 - 206,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,50,15,333.33%,,,,,,10.0,500%,,,S03174,海尔人,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2026/01/23,交付与质量中心,,,开发完成,false,,,28.0,,2026/02/10 09:21,28.0,,王卫强,文化团队,,,2026/01/23,,,,,,,,,,,,,,,,,,2026/01/23,交付与质量中心,,,开发完成,false,,,28.0,,2026/02/10 09:21,28.0,,王卫强,,,2026/01/23,
海尔辞典迭代（20251126）,交付与质量中心,数字化领域赋能,文化数字化,海尔人迭代,辞典,2026,,2026/02/28,,228,王卫强,,,"范双
赵清岩",发布,100%,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,20,10,200.00%,,,,,,12.0,167%,,,S03174,海尔人,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,,,2026/01/23,交付与质量中心,,,开发完成,false,,,32.0,,2026/02/27 16:57,32.0,,王卫强,文化团队,,,2026/01/23,,,,,,,,,,,,,,,,,,2026/01/23,交付与质量中心,,,开发完成,false,,,32.0,,2026/02/27 16:57,32.0,,王卫强,,,2026/01/23,
融媒云1.22更新,交付与质量中心,数字化领域赋能,文化数字化,融媒云,选题,2026,2026/03/23,2026/03/31,,330,王卫强,,王卫强,,开发设计,,,B类-面向特性交付,Level2 - 会话模式辅助开发,Cursor,文化,30,15,200.00%,,,,,,0.0,,,,S03174,海尔人,,,,,,,,,,:0:1,,,,,,,,,,,,,,,,,,,2026/01/23,交付与质量中心,,,开发中,false,,,0.0,,2026/03/05 10:42,0.0,,王卫强,文化团队,,,2026/01/23,,,,,,,,,,,,,,,,,,2026/01/23,交付与质量中心,,,开发中,false,,,0.0,,2026/03/05 10:42,0.0,,王卫强,,,2026/01/23,
云报账多租户审批流迭代,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,云报账能力迭代,2026,2026/01/19,2026/01/31,P0,130,刘晓红,侍晓宇,李乃娇,李乃娇,,100%,,,,,,,,,,,,,,4.2,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2026/01/26,非交付与质量中心,,,,false,,,12.0,,2026/01/26 13:57,12.0,,侍晓宇,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,,,2026/01/26,非交付与质量中心,,,,false,,,12.0,,2026/01/26 13:57,12.0,,侍晓宇,,,2026/01/26,
商户通场景迭代,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,云报账能力迭代,2026,2026/01/05,2026/01/31,P0,130,刘晓红,侍晓宇,李乃娇,李乃娇,,100%,,,,,,,,,,,,,,2.9,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2026/01/26,非交付与质量中心,,,,false,,,10.0,,2026/01/26 13:57,10.0,,侍晓宇,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,,,2026/01/26,非交付与质量中心,,,,false,,,10.0,,2026/01/26 13:57,10.0,,侍晓宇,,,2026/01/26,
,,,,,,2026,,,,,,,,"赵扬悦
张旭
孙乐磊
孟家男
尹相波
王旭杰
陈震
岳甲戌
刘永胜
孙艳飞
刘孝明
赵红
范双
李洪超
高强
林郭森
李江涛
李乃娇
程珍
姜威
谢凯
赵化烙
李恂
程相稳
李京京
矫宗本
张启栋
吴荣坤",,3896174846654058496%,,,,,,,,,,,,,,195.5,0%,,,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 13:59,484.0,,刘永胜,交付与质量中心,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 13:59,484.0,,刘永胜,,,2026/01/26,
技能市场平台开发,交付与质量中心,,,,,2026,2026/01/05,2026/01/16,P3,130,,姜文泽,刘永胜,"刘永胜
姜文泽",,100%,技能市场平台的开发建设,,,Claude+Cursor,,,,,,,,,,7.5,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,15.0,,2026/01/29 09:17,15.0,,刘永胜,交付与质量中心,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,15.0,,2026/01/29 09:17,15.0,,刘永胜,,,2026/01/26,
,,,,,,2026,,,,,,,,"赵扬悦
张旭
孙乐磊
孟家男
尹相波
王旭杰
陈震
岳甲戌
刘永胜
孙艳飞
刘孝明
赵红
范双
李洪超
高强
林郭森
李江涛
李乃娇
程珍
姜威
谢凯
赵化烙
李恂
程相稳
李京京
矫宗本
张启栋
吴荣坤",,3896174846654058496%,,,,,,,,,,,,,,195.5,0%,,,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 14:03,484.0,,刘永胜,交付与质量中心,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 14:03,484.0,,刘永胜,,,2026/01/26,
,,,,,,2026,,,,,,,,"赵扬悦
张旭
孙乐磊
孟家男
尹相波
王旭杰
陈震
岳甲戌
刘永胜
孙艳飞
刘孝明
赵红
范双
李洪超
高强
林郭森
李江涛
李乃娇
程珍
姜威
谢凯
赵化烙
李恂
程相稳
李京京
矫宗本
张启栋
吴荣坤",,3896174846654058496%,,,,,,,,,,,,,,195.5,0%,,,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 14:03,484.0,,刘永胜,交付与质量中心,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 14:03,484.0,,刘永胜,,,2026/01/26,
,,,,,,2026,,,,,,,,"赵扬悦
张旭
孙乐磊
孟家男
尹相波
王旭杰
陈震
岳甲戌
刘永胜
孙艳飞
刘孝明
赵红
范双
李洪超
高强
林郭森
李江涛
李乃娇
程珍
姜威
谢凯
赵化烙
李恂
程相稳
李京京
矫宗本
张启栋
吴荣坤",,3896174846654058496%,,,,,,,,,,,,,,195.5,0%,,,,,,,,,,,,,,:0:0,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 14:07,484.0,,刘永胜,交付与质量中心,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 14:07,484.0,,刘永胜,,,2026/01/26,
消息推送平台建设,用户与体验中心,,,,,2026,2026/01/19,2026/01/30,P3,130,王文佳,王文佳,刘永胜,"刘永胜
周小帅",,100%,,,,,,,,,,,,,,8.5,0%,,,,,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,21.0,,2026/01/29 09:17,21.0,,刘永胜,交付与质量中心,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,21.0,,2026/01/29 09:17,21.0,,刘永胜,,,2026/01/26,
,财资数字化,,,,,2026,,,,,,,孙乐磊,"赵扬悦
张旭
孙乐磊
孟家男
尹相波
王旭杰
陈震
岳甲戌
刘永胜
孙艳飞
刘孝明
赵红
范双
李洪超
高强
林郭森
李江涛
李乃娇
程珍
姜威
谢凯
赵化烙
李恂
程相稳
李京京
矫宗本
张启栋
吴荣坤",,3896174846654058496%,,,,,,,,,,,,,,195.5,0%,,,,,,,,,,,,,,:0:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 14:44,484.0,,孙乐磊,开发团队A,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,非交付与质量中心,,,,false,,,484.0,,2026/01/26 14:44,484.0,,孙乐磊,,,2026/01/26,
初始结转手动指定领域生成法人预算账户不是智家的法人逻辑跳过,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2026,2026/01/05,2026/01/30,P0,130,刘晓红,王鑫,薛晓剑,薛晓剑,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,,,,,,,,,,,3.0,0%,,,S03085,预算中台,,核心项目持续迭代,全自有承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,8.0,,2026/01/26 17:08,8.0,,王鑫,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,8.0,,2026/01/26 17:08,8.0,,王鑫,,,2026/01/26,
部门预算预提数据筛选近三年,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2026,2026/01/19,2026/01/30,P0,130,刘晓红,王鑫,薛晓剑,薛晓剑,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,,,,,,,,,,,2.0,0%,,,S03085,预算中台,,核心项目持续迭代,全自有承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,7.0,,2026/01/26 17:07,7.0,,王鑫,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,7.0,,2026/01/26 17:07,7.0,,王鑫,,,2026/01/26,
DIS报表数据支持——取最近2年占用、释放占用税额等字段的流水视图 提供给dis,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2026,2026/01/19,2026/01/30,P0,130,刘晓红,王鑫,薛晓剑,薛晓剑,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,,,,,,,,,,,2.0,0%,,,S03085,预算中台,,核心项目持续迭代,全自有承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,6.0,,2026/01/26 17:07,6.0,,王鑫,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,6.0,,2026/01/26 17:07,6.0,,王鑫,,,2026/01/26,
新增0元预算逻辑及性能优化,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2026,2026/01/22,2026/01/26,P0,130,刘晓红,王鑫,薛晓剑,薛晓剑,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,,,,,,,,,,,2.0,0%,,,S03085,预算中台,,核心项目持续迭代,全自有承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/26 17:07,5.0,,王鑫,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,5.0,,2026/01/26 17:07,5.0,,王鑫,,,2026/01/26,
手动释放智家团膳结算场景预算指定当年,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2026,2026/01/12,2026/01/31,P0,130,刘晓红,王鑫,薛晓剑,薛晓剑,发布,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,,,,,,,,,,,2.0,0%,,,S03085,预算中台,,核心项目持续迭代,全自有承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,9.0,,2026/01/26 17:07,9.0,,王鑫,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,9.0,,2026/01/26 17:07,9.0,,王鑫,,,2026/01/26,
海外样板之星版块功能开发,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,财务云能力迭代,2026,2026/01/21,2026/01/31,P0,130,刘晓红,王鑫,"李京京,李凯","李京京
李凯",开发,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,,,,,,,,,,,9.0,0%,,,S03085,预算中台,,核心项目持续迭代,全自有承建,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发中,true,,,21.0,,2026/01/26 15:26,21.0,,王鑫,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发中,true,,,21.0,,2026/01/26 15:26,21.0,,王鑫,,,2026/01/26,
预算调整功能前端及后台逻辑改造升级,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2026,2026/01/15,2026/02/27,P0,228,刘晓红,王鑫,"薛晓剑,孟家男","孟家男
薛晓剑",开发设计,57%,,C类-包资源模式,Level1 - 代码补全辅助开发,,,,,,,,,,,35.0,0%,,,S03085,预算中台,,核心项目持续迭代,全自有承建,,,,,,,:1:2,,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发中,true,,,121.0,,2026/01/30 14:50,121.0,,王鑫,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发中,true,,,121.0,,2026/01/30 14:50,121.0,,王鑫,,,2026/01/26,
预算查询页面UI调整,财资数字化,数字化赋能领域,财资数字化,共享平台能力迭代,预算中心能力迭代,2026,2026/01/20,2026/01/23,P0,130,刘晓红,王鑫,孟家男,孟家男,结项,100%,,C类-包资源模式,Level1 - 代码补全辅助开发,,,,,,,,,,,4.0,0%,,,S03085,预算中台,,核心项目持续迭代,全自有承建,,,,,,,:1:1,,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,10.0,,2026/01/26 15:30,10.0,,王鑫,质量运营数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,暂无,,2026/01/26,交付与质量中心,,,开发完成,false,,,10.0,,2026/01/26 15:30,10.0,,王鑫,,,2026/01/26,
海外HOPE900应收记账自动化,财资数字化,数字化赋能领域,财资数字化,RPA智能化升级,RPA智能化升级,2026,2026/01/23,2026/02/06,P0,228,何喜岩,何喜岩,李瀚艺,李瀚艺,开发设计,82%,,C类-包资源模式,Level1 - 代码补全辅助开发,,,,,,,,,,,16.0,0%,,,S01664,"SSC会计助手机器人,SSC会计助手机器人",,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2026/01/26,交付与质量中心,,,开发中,true,,,36.0,,2026/01/26 17:16,36.0,,何喜岩,会计数字化子链群,,,2026/01/26,,,,,,,,,,,,,,,,,,2026/01/26,交付与质量中心,,,开发中,true,,,36.0,,2026/01/26 17:16,36.0,,何喜岩,,,2026/01/26,
发票后到备案、关单、加急流程，增加租户匹配,财资数字化,,,共享平台能力迭代,云报账能力迭代,2026,2026/01/26,2026/02/15,P0,228,刘晓红,张巍,李乃娇,李乃娇,结项,100%,,C类-包资源模式,Level2 - 会话模式辅助开发,Claude+Cursor,财资,,,,,,,,,3.0,0%,,,S03091,云报账,,,,,,,,,,:1:1,,,,,,,,,,,,,,,,,,,2026/01/26,交付与质量中心,,,开发完成,false,,,8.0,,2026/03/04 10:33,8.0,,张巍,产业赋能子链群,,,2026/01/26,,,,,,,,,,,,,,,,,,2026/01/26,交付与质量中心,,,开发完成,false,,,8.0,,2026/03/04 10:33,8.0,,张巍,,,2026/01/26,
